X,Y,Sensor Value,Tower 1 Distance,Tower 2 Distance,Tower 3 Distance,Tower 4 Distance
25,25,50.06940615280734,0.58,9.4,9.45,13.42
25,25,50.01749607119146,0.52,9.52,9.54,13.44
25,25,50.07038136032179,0.88,9.34,9.45,13.41
75,25,50.02462793813579,1.52,9.69,8.41,12.7
125,25,50.01164693487098,2.5,9.94,7.44,12.12
175,25,50.171410397010774,3.69,10.07,6.54,11.56
175,75,50.23671255531116,3.84,9.07,6.53,10.53
175,125,50.76042024282964,4.3,8.13,6.86,10.02
175,175,50.94260150898657,4.78,7.4,7.57,9.26
175,225,51.20758206389283,5.61,6.51,8.01,8.46
175,275,50.03366968457249,6.53,5.66,8.63,7.96
125,275,50.11497261130683,6.14,5.3,9.24,8.68
125,325,50.518086323569825,7.12,4.34,9.82,8.26
125,375,50.8733292911147,8.05,3.71,10.64,7.86
175,375,51.52573780487925,8.15,4.36,9.91,6.96
225,375,50.00322612014174,8.74,5.21,9.35,6.08
275,375,50.0282180088973,9.25,6.23,8.89,5.27
325,375,51.86055997348648,9.84,6.77,8.41,4.26
375,375,51.392579545288434,10.56,7.96,7.86,3.46
425,375,51.3238289141396,11.38,8.75,7.5,3.11
475,375,50.032274643270725,12.26,9.89,7.66,2.69
475,425,50.00835652731455,12.8,9.7,8.59,1.75
475,475,29.507725778590896,13.3,9.34,9.6,0.53
475,475,29.44378208980092,13.35,9.71,9.64,0.9
475,475,29.394860974244693,13.44,9.58,9.48,0.79
475,475,29.327489341794703,13.49,9.44,9.51,0.69
475,475,29.322850904385973,13.51,9.59,9.63,0.82
